Demographics,nan,nan,Male,Female,,Dublin,Leinster,Munster,Connacht,Ulster (ROI Only),,18-24,25-34,35-44,45-54,55-64,,Always,Often,Sometimes,Rarely,Never,,Always,Often,Sometimes,Rarely,Never,,Denny's,Jameson,M&S,Baileys,Coca Cola,Smirnoff,Tesco,Tayto,nan,Dunnes Stores,Cadbury's,Powers,Lindt,Ballymaloe,Heineken,Other Brands,Roses,Absolut,Guinness,Quality Street,No Group,,TV,Radio,"Print media eg newspapers, magazines, flyers","Out of Home eg billboards, posters",Tiktok,Twitter,Facebook,Instagram,General Online advertising,Email,Other,,TV,Radio,"Print media eg newspapers, magazines, flyers","Out of Home eg billboards, posters",Tiktok,Twitter,Facebook,Instagram,General Online advertising,Email,Other,,nan,nan,nan
Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32%,,30%,33%, ,28%,33%,34%,36%,25%, ,26%,30%,32%,33%,36%, ,0.399209486166008,0.2890625,0.32183908045977,0.229885057471264,0.117647058823529, ,0.414634146341463,0.37546468401487,0.331719128329298,0.2,0.175438596491228, ,0.0833333333333333,0.39047619047619,0.25,0.339869281045752,0.333333333333333,0.339622641509434,0.204545454545455,0.268817204301075,0.148148148148148,0.25,0.340823970037453,0.272727272727273,0.264150943396226,0.333333333333333,0.238095238095238,0.320754716981132,0.446428571428571,0.3125,0.307692307692308,0.342105263157895,0, ,0.350746268656716,0.317460317460317,0.306122448979592,0.244444444444444,0.274193548387097,0.222222222222222,0.30188679245283,0.324468085106383,0.273972602739726,0.456521739130435,0.272727272727273, ,0.348101265822785,0.358552631578947,0.322429906542056,0.300925925925926,0.30622009569378,0.339622641509434,0.347402597402597,0.326815642458101,0.290220820189274,0.370967741935484,0.3, ,0.260869565217391,0.305555555555556,0.326446280991736
"Old Fashioned values
 - Neither",327,,165,162, ,102,86,87,28,24, ,38,82,81,69,57, ,51,139,100,26,11, ,14,72,151,71,19, ,6,31,8,90,21,16,13,25,8,10,86,4,18,5,21,45,12,7,27,12,0, ,88,22,11,12,23,7,36,55,53,16,4, ,148,86,61,53,64,34,85,117,89,49,5, ,63,50,232
,33%,,34%,32%, ,36%,31%,31%,25%,45%, ,29%,36%,31%,33%,32%, ,0.201581027667984,0.361979166666667,0.383141762452107,0.298850574712644,0.647058823529412, ,0.170731707317073,0.267657992565056,0.365617433414044,0.394444444444444,0.333333333333333, ,0.5,0.295238095238095,0.333333333333333,0.294117647058824,0.368421052631579,0.30188679245283,0.295454545454545,0.268817204301075,0.296296296296296,0.357142857142857,0.322097378277154,0.363636363636364,0.339622641509434,0.277777777777778,0.333333333333333,0.424528301886792,0.214285714285714,0.4375,0.230769230769231,0.315789473684211,0, ,0.328358208955224,0.349206349206349,0.224489795918367,0.266666666666667,0.370967741935484,0.388888888888889,0.339622641509434,0.292553191489362,0.363013698630137,0.347826086956522,0.363636363636364, ,0.312236286919831,0.282894736842105,0.285046728971963,0.24537037037037,0.30622009569378,0.320754716981132,0.275974025974026,0.326815642458101,0.280757097791798,0.263440860215054,0.5, ,0.342391304347826,0.347222222222222,0.319559228650138
"Old Fashioned values
 - Not very impactful",131,,60,71, ,41,37,32,17,4, ,33,39,23,21,15, ,21,56,41,13,0, ,4,28,56,38,5, ,1,10,4,43,6,8,10,20,3,4,40,0,12,1,8,7,6,1,20,4,0, ,27,6,8,7,11,1,15,36,18,2,0, ,53,31,32,33,40,13,32,50,52,19,0, ,42,19,82
,13%,,12%,14%, ,15%,13%,11%,15%,8%, ,26%,17%,9%,10%,9%, ,0.08300395256917,0.145833333333333,0.157088122605364,0.149425287356322,0, ,0.0487804878048781,0.104089219330855,0.135593220338983,0.211111111111111,0.087719298245614, ,0.0833333333333333,0.0952380952380952,0.166666666666667,0.140522875816993,0.105263157894737,0.150943396226415,0.227272727272727,0.21505376344086,0.111111111111111,0.142857142857143,0.149812734082397,0,0.226415094339623,0.0555555555555556,0.126984126984127,0.0660377358490566,0.107142857142857,0.0625,0.170940170940171,0.105263157894737,0, ,0.100746268656716,0.0952380952380952,0.163265306122449,0.155555555555556,0.17741935483871,0.0555555555555556,0.141509433962264,0.191489361702128,0.123287671232877,0.0434782608695652,0, ,0.111814345991561,0.101973684210526,0.149532710280374,0.152777777777778,0.191387559808612,0.122641509433962,0.103896103896104,0.139664804469274,0.16403785488959,0.102150537634409,0, ,0.228260869565217,0.131944444444444,0.112947658402204
"Old Fashioned values
 - Not at all impactful",82,,39,43, ,23,22,21,12,4, ,10,26,20,17,9, ,15,25,19,21,2, ,3,5,27,26,21, ,2,4,3,23,5,6,5,9,10,3,19,0,2,3,1,7,5,0,7,4,0, ,24,2,5,3,3,2,3,15,20,2,3, ,30,19,17,22,11,3,19,21,26,13,1, ,21,14,55
,8%,,8%,8%, ,8%,8%,8%,11%,8%, ,8%,12%,8%,8%,5%, ,0.0592885375494071,0.0651041666666667,0.0727969348659004,0.241379310344828,0.117647058823529, ,0.0365853658536585,0.0185873605947955,0.0653753026634383,0.144444444444444,0.368421052631579, ,0.166666666666667,0.0380952380952381,0.125,0.0751633986928105,0.087719298245614,0.113207547169811,0.113636363636364,0.0967741935483871,0.37037037037037,0.107142857142857,0.0711610486891386,0,0.0377358490566038,0.166666666666667,0.0158730158730159,0.0660377358490566,0.0892857142857143,0,0.0598290598290598,0.105263157894737,0, ,0.0895522388059701,0.0317460317460317,0.102040816326531,0.0666666666666667,0.0483870967741935,0.111111111111111,0.0283018867924528,0.0797872340425532,0.136986301369863,0.0434782608695652,0.272727272727273, ,0.0632911392405063,0.0625,0.0794392523364486,0.101851851851852,0.0526315789473684,0.0283018867924528,0.0616883116883117,0.058659217877095,0.082018927444795,0.0698924731182796,0.1, ,0.114130434782609,0.0972222222222222,0.0757575757575758
"Price cuts
 - Very impactful ",545,,243,302, ,137,158,150,68,32, ,70,127,148,114,86, ,167,217,110,44,7, ,45,163,229,84,23, ,5,63,12,170,32,32,26,61,9,18,156,3,26,11,36,46,34,7,68,24,0, ,147,36,22,27,36,9,55,105,71,30,7, ,279,190,141,139,125,56,188,208,207,121,7, ,110,78,389
,54%,,50%,59%, ,49%,57%,54%,60%,60%, ,54%,56%,57%,54%,49%, ,0.660079051383399,0.565104166666667,0.421455938697318,0.505747126436782,0.411764705882353, ,0.548780487804878,0.605947955390335,0.554479418886199,0.466666666666667,0.403508771929825, ,0.416666666666667,0.6,0.5,0.555555555555556,0.56140350877193,0.60377358490566,0.590909090909091,0.655913978494624,0.333333333333333,0.642857142857143,0.584269662921348,0.272727272727273,0.490566037735849,0.611111111111111,0.571428571428571,0.433962264150943,0.607142857142857,0.4375,0.581196581196581,0.631578947368421,0, ,0.548507462686567,0.571428571428571,0.448979591836735,0.6,0.580645161290323,0.5,0.518867924528302,0.558510638297872,0.486301369863014,0.652173913043478,0.636363636363636, ,0.588607594936709,0.625,0.658878504672897,0.643518518518518,0.598086124401914,0.528301886792453,0.61038961038961,0.581005586592179,0.652996845425868,0.650537634408602,0.7, ,0.597826086956522,0.541666666666667,0.535812672176309
"Price cuts
 - Fairly Impactful",355,,194,161, ,109,91,102,34,19, ,47,75,85,78,70, ,62,141,115,32,5, ,31,83,144,75,22, ,5,35,8,115,16,18,10,28,9,3,100,6,25,4,22,40,19,7,39,14,0, ,100,20,21,14,21,5,31,64,64,11,4, ,152,99,54,60,64,37,94,121,92,48,3, ,58,51,261
,35%,,40%,31%, ,39%,33%,37%,30%,36%, ,36%,33%,33%,37%,40%, ,0.245059288537549,0.3671875,0.440613026819923,0.367816091954023,0.294117647058824, ,0.378048780487805,0.308550185873606,0.348668280871671,0.416666666666667,0.385964912280702, ,0.416666666666667,0.333333333333333,0.333333333333333,0.375816993464052,0.280701754385965,0.339622641509434,0.227272727272727,0.301075268817204,0.333333333333333,0.107142857142857,0.374531835205993,0.545454545454545,0.471698113207547,0.222222222222222,0.349206349206349,0.377358490566038,0.339285714285714,0.4375,0.333333333333333,0.368421052631579,0, ,0.373134328358209,0.317460317460317,0.428571428571429,0.311111111111111,0.338709677419355,0.277777777777778,0.292452830188679,0.340425531914894,0.438356164383562,0.239130434782609,0.363636363636364, ,0.320675105485232,0.325657894736842,0.252336448598131,0.277777777777778,0.30622009569378,0.349056603773585,0.305194805194805,0.337988826815642,0.290220820189274,0.258064516129032,0.3, ,0.315217391304348,0.354166666666667,0.359504132231405
"Price cuts
 - Neither",76,,39,37, ,25,21,22,6,2, ,9,16,23,14,14, ,18,22,28,5,3, ,6,18,29,17,6, ,2,6,3,14,5,1,5,4,7,3,9,1,0,3,3,18,2,1,7,0,0, ,15,6,4,2,4,2,15,14,9,5,0, ,35,12,14,12,18,8,22,20,13,14,0, ,13,10,57
,8%,,8%,7%, ,9%,8%,8%,5%,4%, ,7%,7%,9%,7%,8%, ,0.0711462450592885,0.0572916666666667,0.10727969348659,0.0574712643678161,0.176470588235294, ,0.0731707317073171,0.0669144981412639,0.0702179176755448,0.0944444444444444,0.105263157894737, ,0.166666666666667,0.0571428571428571,0.125,0.0457516339869281,0.087719298245614,0.0188679245283019,0.113636363636364,0.043010752688172,0.259259259259259,0.107142857142857,0.0337078651685393,0.0909090909090909,0,0.166666666666667,0.0476190476190476,0.169811320754717,0.0357142857142857,0.0625,0.0598290598290598,0,0, ,0.0559701492537313,0.0952380952380952,0.0816326530612245,0.0444444444444444,0.0645161290322581,0.111111111111111,0.141509433962264,0.074468085106383,0.0616438356164384,0.108695652173913,0, ,0.0738396624472574,0.0394736842105263,0.0654205607476635,0.0555555555555556,0.0861244019138756,0.0754716981132075,0.0714285714285714,0.0558659217877095,0.0410094637223975,0.0752688172043011,0, ,0.0706521739130435,0.0694444444444444,0.0785123966942149
"Price cuts
 - Not very impactful",20,,12,8, ,9,5,3,3,0, ,3,6,4,5,2, ,4,4,7,4,1, ,0,5,9,3,3, ,0,1,0,5,3,1,3,0,1,4,2,1,1,0,2,2,0,1,2,0,0, ,4,0,2,2,1,1,3,5,2,0,0, ,7,2,4,5,1,4,4,7,2,1,0, ,3,4,14
,2%,,2%,2%, ,3%,2%,1%,3%,0%, ,2%,3%,2%,2%,1%, ,0.0158102766798419,0.0104166666666667,0.0268199233716475,0.0459770114942529,0.0588235294117647, ,0,0.0185873605947955,0.0217917675544794,0.0166666666666667,0.0526315789473684, ,0,0.00952380952380952,0,0.0163398692810458,0.0526315789473684,0.0188679245283019,0.0681818181818182,0,0.037037037037037,0.142857142857143,0.00749063670411985,0.0909090909090909,0.0188679245283019,0,0.0317460317460317,0.0188679245283019,0,0.0625,0.0170940170940171,0,0, ,0.0149253731343284,0,0.0408163265306122,0.0444444444444444,0.0161290322580645,0.0555555555555556,0.0283018867924528,0.0265957446808511,0.0136986301369863,0,0, ,0.0147679324894515,0.00657894736842105,0.0186915887850467,0.0231481481481481,0.00478468899521531,0.0377358490566038,0.012987012987013,0.0195530726256983,0.00630914826498423,0.00537634408602151,0, ,0.016304347826087,0.0277777777777778,0.0192837465564738
"Price cuts
 - Not at all impactful",6,,2,4, ,1,1,2,2,0, ,0,1,1,0,4, ,2,0,1,2,1, ,0,0,2,1,3, ,0,0,1,2,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0, ,2,1,0,0,0,1,2,0,0,0,0, ,1,1,1,0,1,1,0,2,3,2,0, ,0,1,5
,1%,,0%,1%, ,0%,0%,1%,2%,0%, ,0%,0%,0%,0%,2%, ,0.00790513833992095,0,0.00383141762452107,0.0229885057471264,0.0588235294117647, ,0,0,0.00484261501210654,0.00555555555555556,0.0526315789473684, ,0,0,0.0416666666666667,0.0065359477124183,0.0175438596491228,0.0188679245283019,0,0,0.037037037037037,0,0,0,0.0188679245283019,0,0,0,0.0178571428571429,0,0.00854700854700855,0,0, ,0.00746268656716418,0.0158730158730159,0,0,0,0.0555555555555556,0.0188679245283019,0,0,0,0, ,0.00210970464135021,0.00328947368421053,0.00467289719626168,0,0.00478468899521531,0.00943396226415094,0,0.00558659217877095,0.00946372239747634,0.010752688172043,0, ,0,0.00694444444444444,0.0068870523415978
"Premium / Quality credentials
 - Very impactful ",204,,109,95, ,57,59,54,25,9, ,30,40,67,32,35, ,79,75,38,11,1, ,38,73,71,20,2, ,2,27,7,60,9,11,10,14,2,9,47,5,8,2,20,20,14,4,34,10,0, ,54,15,14,13,13,4,16,36,29,10,0, ,100,71,53,70,42,28,80,83,84,53,1, ,29,27,157
,20%,,22%,19%, ,20%,21%,19%,22%,17%, ,23%,18%,26%,15%,20%, ,0.312252964426877,0.1953125,0.145593869731801,0.126436781609195,0.0588235294117647, ,0.463414634146341,0.271375464684015,0.171912832929782,0.111111111111111,0.0350877192982456, ,0.166666666666667,0.257142857142857,0.291666666666667,0.196078431372549,0.157894736842105,0.207547169811321,0.227272727272727,0.150537634408602,0.0740740740740741,0.321428571428571,0.176029962546816,0.454545454545455,0.150943396226415,0.111111111111111,0.317460317460317,0.188679245283019,0.25,0.25,0.290598290598291,0.263157894736842,0, ,0.201492537313433,0.238095238095238,0.285714285714286,0.288888888888889,0.209677419354839,0.222222222222222,0.150943396226415,0.191489361702128,0.198630136986301,0.217391304347826,0, ,0.210970464135021,0.233552631578947,0.247663551401869,0.324074074074074,0.200956937799043,0.264150943396226,0.25974025974026,0.231843575418994,0.264984227129338,0.28494623655914,0.1, ,0.157608695652174,0.1875,0.216253443526171
"Premium / Quality credentials
 - Fairly Impactful",451,,214,237, ,122,129,123,52,25, ,51,106,109,96,89, ,119,188,106,32,6, ,29,134,201,70,17, ,5,50,10,160,28,23,18,43,5,9,140,2,21,11,26,48,24,7,51,16,0, ,123,26,20,21,32,8,49,88,58,23,3, ,238,151,96,90,96,55,151,168,151,78,2, ,84,63,330
,45%,,44%,46%, ,43%,47%,44%,46%,47%, ,40%,47%,42%,45%,51%, ,0.470355731225296,0.489583333333333,0.406130268199234,0.367816091954023,0.352941176470588, ,0.353658536585366,0.49814126394052,0.486682808716707,0.388888888888889,0.298245614035088, ,0.416666666666667,0.476190476190476,0.416666666666667,0.522875816993464,0.491228070175439,0.433962264150943,0.409090909090909,0.462365591397849,0.185185185185185,0.321428571428571,0.524344569288389,0.181818181818182,0.39622641509434,0.611111111111111,0.412698412698413,0.452830188679245,0.428571428571429,0.4375,0.435897435897436,0.421052631578947,0, ,0.458955223880597,0.412698412698413,0.408163265306122,0.466666666666667,0.516129032258065,0.444444444444444,0.462264150943396,0.468085106382979,0.397260273972603,0.5,0.272727272727273, ,0.50210970464135,0.496710526315789,0.448598130841121,0.416666666666667,0.45933014354067,0.518867924528302,0.49025974025974,0.46927374301676,0.476340694006309,0.419354838709677,0.2, ,0.456521739130435,0.4375,0.454545454545455
"Premium / Quality credentials
 - Neither",233,,107,126, ,66,61,62,27,17, ,32,55,54,57,35, ,36,85,85,23,4, ,10,44,108,53,17, ,3,17,3,64,11,11,10,26,9,7,59,3,17,3,7,24,11,4,22,8,0, ,53,16,9,8,15,4,30,42,41,13,2, ,100,59,45,37,45,13,59,77,57,37,4, ,51,36,157
,23%,,22%,25%, ,23%,22%,22%,24%,32%, ,25%,24%,21%,27%,20%, ,0.142292490118577,0.221354166666667,0.325670498084291,0.264367816091954,0.235294117647059, ,0.121951219512195,0.163568773234201,0.261501210653753,0.294444444444444,0.298245614035088, ,0.25,0.161904761904762,0.125,0.209150326797386,0.192982456140351,0.207547169811321,0.227272727272727,0.279569892473118,0.333333333333333,0.25,0.220973782771536,0.272727272727273,0.320754716981132,0.166666666666667,0.111111111111111,0.226415094339623,0.196428571428571,0.25,0.188034188034188,0.210526315789474,0, ,0.197761194029851,0.253968253968254,0.183673469387755,0.177777777777778,0.241935483870968,0.222222222222222,0.283018867924528,0.223404255319149,0.280821917808219,0.282608695652174,0.181818181818182, ,0.210970464135021,0.194078947368421,0.210280373831776,0.171296296296296,0.215311004784689,0.122641509433962,0.191558441558442,0.215083798882682,0.17981072555205,0.198924731182796,0.4, ,0.277173913043478,0.25,0.216253443526171
"Premium / Quality credentials
 - Not very impactful",81,,42,39, ,30,19,27,4,1, ,11,19,22,21,8, ,14,27,24,14,2, ,3,13,31,26,8, ,2,8,3,14,7,7,6,7,4,3,16,1,6,2,9,7,6,1,8,3,0, ,30,4,3,1,2,2,6,16,13,0,4, ,26,15,13,15,20,7,14,26,21,13,2, ,16,16,55
,8%,,9%,8%, ,11%,7%,10%,4%,2%, ,9%,8%,8%,10%,5%, ,0.0553359683794466,0.0703125,0.0919540229885057,0.160919540229885,0.117647058823529, ,0.0365853658536585,0.0483271375464684,0.0750605326876513,0.144444444444444,0.140350877192982, ,0.166666666666667,0.0761904761904762,0.125,0.0457516339869281,0.12280701754386,0.132075471698113,0.136363636363636,0.0752688172043011,0.148148148148148,0.107142857142857,0.0599250936329588,0.0909090909090909,0.113207547169811,0.111111111111111,0.142857142857143,0.0660377358490566,0.107142857142857,0.0625,0.0683760683760684,0.0789473684210526,0, ,0.111940298507463,0.0634920634920635,0.0612244897959184,0.0222222222222222,0.032258064516129,0.111111111111111,0.0566037735849057,0.0851063829787234,0.089041095890411,0,0.363636363636364, ,0.0548523206751055,0.0493421052631579,0.0607476635514019,0.0694444444444444,0.0956937799043062,0.0660377358490566,0.0454545454545455,0.0726256983240224,0.0662460567823344,0.0698924731182796,0.2, ,0.0869565217391304,0.111111111111111,0.0757575757575758
"Premium / Quality credentials
 - Not at all impactful",33,,18,15, ,6,8,13,5,1, ,5,5,9,5,9, ,5,9,8,7,4, ,2,5,2,11,13, ,0,3,1,8,2,1,0,3,7,0,5,0,1,0,1,7,1,0,2,1,0, ,8,2,3,2,0,0,5,6,5,0,2, ,10,8,7,4,6,3,4,4,4,5,1, ,4,2,27
,3%,,4%,3%, ,2%,3%,5%,4%,2%, ,4%,2%,3%,2%,5%, ,0.0197628458498024,0.0234375,0.0306513409961686,0.0804597701149425,0.235294117647059, ,0.024390243902439,0.0185873605947955,0.00484261501210654,0.0611111111111111,0.228070175438596, ,0,0.0285714285714286,0.0416666666666667,0.0261437908496732,0.0350877192982456,0.0188679245283019,0,0.032258064516129,0.259259259259259,0,0.0187265917602996,0,0.0188679245283019,0,0.0158730158730159,0.0660377358490566,0.0178571428571429,0,0.0170940170940171,0.0263157894736842,0, ,0.0298507462686567,0.0317460317460317,0.0612244897959184,0.0444444444444444,0,0,0.0471698113207547,0.0319148936170213,0.0342465753424658,0,0.181818181818182, ,0.0210970464135021,0.0263157894736842,0.0327102803738318,0.0185185185185185,0.0287081339712919,0.0283018867924528,0.012987012987013,0.0111731843575419,0.0126182965299685,0.0268817204301075,0.1, ,0.0217391304347826,0.0138888888888889,0.0371900826446281
"Sustainability
 - Very impactful ",160,,85,75, ,46,42,48,16,8, ,22,32,46,32,28, ,48,67,31,12,2, ,25,60,52,20,3, ,2,18,5,41,8,7,9,10,4,5,34,3,4,3,18,22,7,4,29,6,0, ,36,13,9,9,11,5,14,32,22,9,0, ,77,54,44,51,42,24,60,64,64,46,1, ,26,27,118
,16%,,17%,15%, ,16%,15%,17%,14%,15%, ,17%,14%,18%,15%,16%, ,0.189723320158103,0.174479166666667,0.118773946360153,0.137931034482759,0.117647058823529, ,0.304878048780488,0.223048327137546,0.12590799031477,0.111111111111111,0.0526315789473684, ,0.166666666666667,0.171428571428571,0.208333333333333,0.133986928104575,0.140350877192982,0.132075471698113,0.204545454545455,0.10752688172043,0.148148148148148,0.178571428571429,0.127340823970037,0.272727272727273,0.0754716981132075,0.166666666666667,0.285714285714286,0.207547169811321,0.125,0.25,0.247863247863248,0.157894736842105,0, ,0.134328358208955,0.206349206349206,0.183673469387755,0.2,0.17741935483871,0.277777777777778,0.132075471698113,0.170212765957447,0.150684931506849,0.195652173913043,0, ,0.162447257383966,0.177631578947368,0.205607476635514,0.236111111111111,0.200956937799043,0.226415094339623,0.194805194805195,0.17877094972067,0.201892744479495,0.247311827956989,0.1, ,0.141304347826087,0.1875,0.162534435261708
"Sustainability
 - Fairly Impactful",381,,180,201, ,99,103,105,48,26, ,46,87,94,85,69, ,100,161,88,29,3, ,29,117,162,59,13, ,2,40,8,126,17,24,18,38,5,13,109,3,20,7,22,36,21,6,38,13,0, ,98,23,21,16,22,4,43,75,57,19,3, ,191,116,71,76,83,41,124,134,123,73,2, ,67,52,279
,38%,,37%,39%, ,35%,37%,38%,42%,49%, ,36%,39%,36%,40%,39%, ,0.395256916996047,0.419270833333333,0.337164750957854,0.333333333333333,0.176470588235294, ,0.353658536585366,0.434944237918216,0.39225181598063,0.327777777777778,0.228070175438596, ,0.166666666666667,0.380952380952381,0.333333333333333,0.411764705882353,0.298245614035088,0.452830188679245,0.409090909090909,0.408602150537634,0.185185185185185,0.464285714285714,0.408239700374532,0.272727272727273,0.377358490566038,0.388888888888889,0.349206349206349,0.339622641509434,0.375,0.375,0.324786324786325,0.342105263157895,0, ,0.365671641791045,0.365079365079365,0.428571428571429,0.355555555555556,0.354838709677419,0.222222222222222,0.405660377358491,0.398936170212766,0.39041095890411,0.41304347826087,0.272727272727273, ,0.40295358649789,0.381578947368421,0.331775700934579,0.351851851851852,0.397129186602871,0.386792452830189,0.402597402597403,0.374301675977654,0.38801261829653,0.39247311827957,0.2, ,0.364130434782609,0.361111111111111,0.384297520661157
"Sustainability
 - Neither",287,,123,164, ,92,79,78,24,14, ,38,72,72,57,48, ,64,107,87,20,9, ,16,59,139,52,21, ,6,28,8,89,15,15,10,27,9,7,85,2,20,5,9,26,18,4,28,13,0, ,80,21,10,11,17,5,33,53,41,12,4, ,135,82,63,56,49,26,71,99,85,44,4, ,58,51,195
,29%,,25%,32%, ,33%,29%,28%,21%,26%, ,29%,32%,28%,27%,27%, ,0.25296442687747,0.278645833333333,0.333333333333333,0.229885057471264,0.529411764705882, ,0.195121951219512,0.219330855018587,0.336561743341404,0.288888888888889,0.368421052631579, ,0.5,0.266666666666667,0.333333333333333,0.290849673202614,0.263157894736842,0.283018867924528,0.227272727272727,0.290322580645161,0.333333333333333,0.25,0.318352059925094,0.181818181818182,0.377358490566038,0.277777777777778,0.142857142857143,0.245283018867925,0.321428571428571,0.25,0.239316239316239,0.342105263157895,0, ,0.298507462686567,0.333333333333333,0.204081632653061,0.244444444444444,0.274193548387097,0.277777777777778,0.311320754716981,0.281914893617021,0.280821917808219,0.260869565217391,0.363636363636364, ,0.284810126582278,0.269736842105263,0.294392523364486,0.259259259259259,0.23444976076555,0.245283018867925,0.230519480519481,0.276536312849162,0.26813880126183,0.236559139784946,0.4, ,0.315217391304348,0.354166666666667,0.268595041322314
"Sustainability
 - Not very impactful",108,,63,45, ,27,36,31,11,3, ,16,21,28,21,22, ,21,32,43,12,0, ,7,22,47,26,6, ,0,11,1,38,12,4,4,12,2,2,32,0,6,2,13,10,6,2,15,2,0, ,34,5,6,8,6,2,10,15,16,5,1, ,50,37,27,25,23,13,38,42,33,14,2, ,21,9,82
,11%,,13%,9%, ,10%,13%,11%,10%,6%, ,12%,9%,11%,10%,13%, ,0.08300395256917,0.0833333333333333,0.164750957854406,0.137931034482759,0, ,0.0853658536585366,0.0817843866171004,0.113801452784504,0.144444444444444,0.105263157894737, ,0,0.104761904761905,0.0416666666666667,0.124183006535948,0.210526315789474,0.0754716981132075,0.0909090909090909,0.129032258064516,0.0740740740740741,0.0714285714285714,0.119850187265918,0,0.113207547169811,0.111111111111111,0.206349206349206,0.0943396226415094,0.107142857142857,0.125,0.128205128205128,0.0526315789473684,0, ,0.126865671641791,0.0793650793650794,0.122448979591837,0.177777777777778,0.0967741935483871,0.111111111111111,0.0943396226415094,0.0797872340425532,0.10958904109589,0.108695652173913,0.0909090909090909, ,0.105485232067511,0.121710526315789,0.126168224299065,0.115740740740741,0.110047846889952,0.122641509433962,0.123376623376623,0.11731843575419,0.10410094637224,0.0752688172043011,0.2, ,0.114130434782609,0.0625,0.112947658402204
"Sustainability
 - Not at all impactful",66,,39,27, ,17,16,17,14,2, ,7,13,21,16,9, ,20,17,12,14,3, ,5,11,13,23,14, ,2,8,2,12,5,3,3,6,7,1,7,3,3,1,1,12,4,0,7,4,0, ,20,1,3,1,6,2,6,13,10,1,3, ,21,15,9,8,12,2,15,19,12,9,1, ,12,5,52
,7%,,8%,5%, ,6%,6%,6%,12%,4%, ,5%,6%,8%,8%,5%, ,0.0790513833992095,0.0442708333333333,0.0459770114942529,0.160919540229885,0.176470588235294, ,0.0609756097560976,0.0408921933085502,0.0314769975786925,0.127777777777778,0.245614035087719, ,0.166666666666667,0.0761904761904762,0.0833333333333333,0.0392156862745098,0.087719298245614,0.0566037735849057,0.0681818181818182,0.0645161290322581,0.259259259259259,0.0357142857142857,0.0262172284644195,0.272727272727273,0.0566037735849057,0.0555555555555556,0.0158730158730159,0.113207547169811,0.0714285714285714,0,0.0598290598290598,0.105263157894737,0, ,0.0746268656716418,0.0158730158730159,0.0612244897959184,0.0222222222222222,0.0967741935483871,0.111111111111111,0.0566037735849057,0.0691489361702128,0.0684931506849315,0.0217391304347826,0.272727272727273, ,0.0443037974683544,0.0493421052631579,0.0420560747663551,0.037037037037037,0.0574162679425837,0.0188679245283019,0.0487012987012987,0.053072625698324,0.0378548895899054,0.0483870967741935,0.1, ,0.0652173913043478,0.0347222222222222,0.0716253443526171
"Tells me a story about the brand / product
 - Very impactful ",111,,65,46, ,24,31,39,11,6, ,23,17,32,23,16, ,47,37,20,5,2, ,26,49,31,3,2, ,1,15,1,37,3,2,7,8,4,2,18,2,4,1,13,10,8,5,20,5,0, ,22,10,8,7,8,3,15,19,15,4,0, ,62,44,28,28,33,19,38,47,42,30,0, ,19,10,88
,11%,,13%,9%, ,9%,11%,14%,10%,11%, ,18%,8%,12%,11%,9%, ,0.185770750988142,0.0963541666666667,0.0766283524904215,0.0574712643678161,0.117647058823529, ,0.317073170731707,0.182156133828996,0.0750605326876513,0.0166666666666667,0.0350877192982456, ,0.0833333333333333,0.142857142857143,0.0416666666666667,0.120915032679739,0.0526315789473684,0.0377358490566038,0.159090909090909,0.0860215053763441,0.148148148148148,0.0714285714285714,0.0674157303370786,0.181818181818182,0.0754716981132075,0.0555555555555556,0.206349206349206,0.0943396226415094,0.142857142857143,0.3125,0.170940170940171,0.131578947368421,0, ,0.082089552238806,0.158730158730159,0.163265306122449,0.155555555555556,0.129032258064516,0.166666666666667,0.141509433962264,0.101063829787234,0.102739726027397,0.0869565217391304,0, ,0.130801687763713,0.144736842105263,0.130841121495327,0.12962962962963,0.157894736842105,0.179245283018868,0.123376623376623,0.131284916201117,0.132492113564669,0.161290322580645,0, ,0.103260869565217,0.0694444444444444,0.121212121212121
"Tells me a story about the brand / product
 - Fairly Impactful",340,,171,169, ,94,89,90,48,19, ,33,79,88,73,67, ,100,147,74,17,2, ,31,117,155,32,4, ,4,32,8,112,18,18,13,26,3,10,90,7,15,10,22,37,18,7,36,14,0, ,83,22,15,15,22,8,34,77,43,21,0, ,167,108,74,78,80,49,125,128,99,70,2, ,52,48,254
